Artist,Title,explicit,duration_ms,key,mode,time_signature,tempo,danceability,energy,valence,loudness,speechiness,acousticness,instrumentalness,liveness
Pez,Hasta Que No Lo Perdés No Lo Extrañás,0,208102,9.0,1.0,4.0,74.78,0.406,0.914,0.562,-4.927,0.0496,0.000257,0.000208,0.345
Pez,La Flecha,0,172282,9.0,1.0,4.0,105.208,0.453,0.868,0.633,-4.784,0.0307,0.0004,0.0,0.121
Pez,Cuarentena Blus,0,190304,9.0,1.0,3.0,103.808,0.377,0.903,0.525,-4.42,0.0377,9.32e-05,0.0,0.342
Pez,Hasta Que Nos Volvamos a Ver,0,103806,2.0,1.0,4.0,160.079,0.35,0.961,0.747,-4.07,0.0483,4.56e-05,0.0339,0.2
Pez,Colección de Pesadillas,0,205283,9.0,1.0,4.0,157.445,0.457,0.908,0.642,-4.476,0.0431,0.000666,0.00868,0.404
Pez,Viajando Lejos para No Volver,0,220896,9.0,1.0,4.0,122.375,0.284,0.856,0.321,-5.95,0.0362,0.000267,0.00267,0.109
Pez,Los Rápidos,0,116700,2.0,1.0,4.0,102.396,0.405,0.99,0.508,-4.401,0.0822,0.000502,0.00871,0.341
Pez,Ajo,0,205010,4.0,1.0,4.0,146.188,0.263,0.941,0.423,-4.682,0.0629,0.000186,0.0129,0.0937
Pez,No Soy un Robot,0,159786,1.0,1.0,4.0,128.224,0.583,0.695,0.767,-6.478,0.0426,0.0123,0.000545,0.641
Pez,La Vida Es Otra Cosa,0,161191,9.0,1.0,4.0,160.506,0.282,0.936,0.671,-4.498,0.0638,0.000366,0.000167,0.185
Pez,Dave Smalley,0,144996,4.0,0.0,4.0,158.836,0.479,0.869,0.402,-4.274,0.0455,0.00675,0.000558,0.226
Pez,Desde el Aire,0,224288,9.0,1.0,4.0,137.027,0.327,0.884,0.32,-4.832,0.0546,4.87e-05,0.00809,0.209
Pez,Amanece en Boedo,0,145517,9.0,1.0,3.0,158.238,0.277,0.732,0.424,-4.922,0.0301,0.0117,6.49e-05,0.258
Pez,Sveglia - En Vivo,0,88725,2.0,1.0,4.0,115.635,0.364,0.876,0.286,-7.234,0.168,0.00048,0.618,0.528
Pez,Vientodestino en Vidamar - En Vivo,0,237006,11.0,0.0,4.0,102.961,0.368,0.649,0.428,-7.154,0.0419,0.0027,0.0678,0.756
Pez,Dificil de Conseguir - En Vivo,0,276790,9.0,1.0,4.0,151.263,0.382,0.67,0.322,-7.864,0.0301,0.0147,0.000249,0.73
Pez,Para las Almas Sensibles - En Vivo,1,245072,7.0,1.0,4.0,89.935,0.412,0.846,0.516,-5.171,0.0433,0.000683,0.0154,0.961
Pez,Bettie al Desierto - En Vivo,0,150060,0.0,1.0,4.0,78.325,0.312,0.698,0.259,-6.622,0.0432,0.0141,1.83e-05,0.924
Pez,Toda la Mañana - En Vivo,1,92529,0.0,1.0,4.0,84.483,0.489,0.668,0.644,-6.576,0.0266,0.000448,0.000629,0.283
Pez,El Viaje - En Vivo,0,273812,7.0,1.0,3.0,147.889,0.228,0.749,0.344,-6.466,0.0409,0.00198,0.000557,0.523
Pez,Nubes Toman Formas Tontas - En Vivo,0,270683,9.0,0.0,4.0,130.569,0.362,0.642,0.203,-9.505,0.0659,0.0124,0.0933,0.708
Pez,Alada - En Vivo,0,185382,4.0,1.0,3.0,131.592,0.392,0.755,0.447,-7.646,0.079,0.0274,0.0012,0.764
Pez,La Estética del Resentimiento - En Vivo,0,221916,11.0,0.0,3.0,83.775,0.329,0.68,0.426,-7.902,0.0465,0.00356,0.0664,0.898
Pez,Cráneos - En Vivo,0,352752,11.0,0.0,4.0,175.011,0.208,0.906,0.368,-6.266,0.0888,1.39e-05,0.629,0.685
Pez,Todo Lo Que Ya Fue - En Vivo,0,308913,7.0,1.0,4.0,140.21,0.525,0.607,0.642,-8.775,0.0604,0.0376,0.00133,0.695
Pez,En un Lenguaje Extraño - En Vivo,0,182726,5.0,0.0,4.0,131.841,0.59,0.564,0.432,-10.132,0.0716,0.0356,1.19e-05,0.714
Pez,Retornan los Restos - En Vivo,0,282943,4.0,1.0,4.0,158.892,0.498,0.561,0.54,-9.067,0.0702,0.00783,0.00708,0.702
Pez,El Manto Eléctrico - En Vivo,0,331018,4.0,0.0,4.0,141.357,0.483,0.648,0.245,-8.037,0.0314,0.0398,9.91e-05,0.692
Pez,Muerde la Luz - En Vivo,0,160167,2.0,1.0,4.0,97.708,0.317,0.86,0.328,-6.1,0.0382,3.68e-05,0.672,0.845
Pez,No Te Escucho Bien - En Vivo,0,375970,4.0,0.0,4.0,141.776,0.327,0.66,0.559,-8.535,0.0829,0.178,0.221,0.691
Pez,Aire al Fin - En Vivo,0,187506,7.0,1.0,4.0,148.893,0.291,0.868,0.285,-6.543,0.0519,0.000468,0.0715,0.791
Pez,Los Viajes Maestros - En Vivo,0,242751,4.0,0.0,3.0,128.327,0.475,0.426,0.275,-10.025,0.0323,0.00447,0.00452,0.319
Pez,Mi Lista de Deseos - En Vivo,0,389330,4.0,0.0,4.0,156.036,0.438,0.689,0.355,-9.076,0.0523,0.104,0.00982,0.685
Pez,"Sol, un Fantasma en la Ciudad - En Vivo",0,218662,7.0,1.0,4.0,114.458,0.435,0.519,0.144,-9.095,0.0355,0.408,0.0188,0.738
Pez,Los Orfebres - En Vivo,0,225901,0.0,1.0,4.0,91.924,0.557,0.889,0.714,-6.117,0.0798,0.00381,0.124,0.667
Pez,Sus Alas No Vuelan - En Vivo,0,186647,7.0,1.0,4.0,112.208,0.323,0.606,0.123,-6.955,0.0324,0.00116,0.0496,0.683
Pez,Ushuaia - En Vivo,0,218785,4.0,1.0,3.0,162.065,0.327,0.588,0.328,-10.393,0.0367,0.0188,0.833,0.622
Pez,Ni Discos de Bob - En Vivo,0,334001,0.0,1.0,4.0,116.98,0.362,0.821,0.168,-7.102,0.0661,0.00209,0.0188,0.684
Pez,La Sin Nombre - En Vivo,0,315014,4.0,0.0,4.0,81.807,0.343,0.872,0.597,-7.086,0.255,0.000552,0.0189,0.962
Pez,La Madre de Todas las Artes - En Vivo,0,371993,1.0,1.0,4.0,85.72,0.267,0.893,0.503,-6.394,0.0957,4.33e-05,0.291,0.965
Pez,Haciendo Real el Sueño Imposible - En Vivo,0,380256,4.0,0.0,4.0,82.808,0.358,0.879,0.3,-7.84,0.273,0.00214,0.55,0.952
Pez,Desde el Viento en la Montaña Hasta la Espuma del Mar - En Vivo,0,344198,11.0,0.0,4.0,89.35,0.167,0.878,0.0653,-6.286,0.0572,0.000131,0.0437,0.145
Pez,Por Amor,0,107938,9.0,1.0,4.0,159.337,0.346,0.913,0.837,-6.144,0.0522,0.000134,2e-05,0.113
Pez,Lluvia de Frente,0,161637,9.0,1.0,4.0,170.935,0.296,0.932,0.764,-6.489,0.0566,7.29e-05,0.00116,0.603
Pez,Desde el Odio,0,228402,4.0,0.0,4.0,166.978,0.254,0.975,0.59,-6.289,0.0811,0.000223,0.00106,0.13
Pez,El Sheriff,0,146497,0.0,1.0,4.0,158.896,0.319,0.908,0.846,-6.918,0.0424,0.000145,0.000157,0.811
Pez,Kung Fu,0,243244,11.0,0.0,4.0,159.231,0.343,0.944,0.346,-8.043,0.0573,0.000739,0.0257,0.252
Pez,La Joya,0,159701,4.0,0.0,4.0,160.208,0.315,0.928,0.596,-4.679,0.0398,0.00278,0.000585,0.111
Pez,El Almaherida,0,149965,9.0,1.0,4.0,135.854,0.308,0.681,0.461,-7.113,0.0319,0.0109,0.0,0.122
Pez,El Arte Arcaico,0,146750,2.0,1.0,3.0,153.784,0.315,0.958,0.613,-6.143,0.0511,0.000276,0.000102,0.18
Pez,Los Amigos del Campeón,0,210335,2.0,1.0,4.0,138.646,0.513,0.896,0.757,-5.088,0.0546,0.0349,4.68e-05,0.156
Pez,Contra los Fantasmas,0,181373,11.0,1.0,4.0,165.236,0.345,0.924,0.744,-6.557,0.0502,0.000291,0.000864,0.142
Pez,El Puto Pulitzer,0,132476,7.0,1.0,4.0,183.078,0.231,0.944,0.684,-6.311,0.0532,3.52e-05,0.0803,0.437
Pez,Fuego Amigo,0,249705,4.0,0.0,4.0,92.093,0.213,0.962,0.396,-5.288,0.102,0.000166,0.0352,0.165
Pez,Adónde Vas a Poner Tu Atención?,0,265772,0.0,1.0,4.0,138.172,0.364,0.68,0.525,-6.675,0.0281,0.0137,3.75e-05,0.136
Pez,Rezo por Vos,0,275515,2.0,1.0,4.0,119.859,0.438,0.78,0.266,-6.901,0.0372,0.00626,0.00213,0.137
Pez,Estallando Desde el Océano,0,321067,2.0,1.0,4.0,78.167,0.373,0.836,0.405,-7.154,0.0519,0.00448,0.0198,0.105
Pez,Número 2 en Tu Lista,0,209062,9.0,1.0,4.0,150.202,0.325,0.942,0.586,-5.908,0.0969,0.005,0.0346,0.0589
Pez,Perdiendo el Control,0,334010,0.0,1.0,4.0,128.405,0.541,0.592,0.754,-7.771,0.026,0.0201,0.0252,0.0931
Pez,Viajar Lejos,0,292552,4.0,0.0,4.0,148.626,0.461,0.795,0.437,-7.434,0.045,0.00118,0.00107,0.103
Pez,Para Qué Estoy Aquí,0,136051,2.0,1.0,4.0,155.284,0.323,0.949,0.72,-6.455,0.107,7.33e-05,0.0022,0.335
Pez,Lunes por la Madrugada,0,220903,2.0,1.0,4.0,135.31,0.42,0.715,0.351,-7.082,0.0289,0.000111,0.00151,0.268
Pez,Sólo Se Trata de Vivir,0,388316,7.0,1.0,4.0,99.306,0.458,0.739,0.152,-8.679,0.0383,0.00721,0.000709,0.336
Pez,La Ventana Sin Cancel,0,124434,7.0,1.0,4.0,78.794,0.342,0.568,0.0672,-8.731,0.0374,0.00814,0.000232,0.198
Pez,Rodar - Sin Celular,0,256686,4.0,1.0,4.0,87.391,0.446,0.232,0.128,-9.577,0.0269,0.447,1.66e-05,0.0953
Pez,Hogar,0,183024,4.0,0.0,4.0,77.238,0.257,0.763,0.383,-6.461,0.0506,0.000469,0.000375,0.344
Pez,Rock de la Mujer Perdida,0,189562,9.0,1.0,4.0,67.318,0.344,0.715,0.486,-6.61,0.0471,0.00461,0.0155,0.246
Pez,Los Días de Actemio,0,213886,0.0,1.0,3.0,79.627,0.45,0.489,0.248,-8.478,0.0282,0.0284,0.000211,0.185
Pez,El Rey Lloró / Madre Escúchame,0,375981,7.0,1.0,4.0,99.061,0.412,0.536,0.193,-7.958,0.0285,0.322,5.58e-05,0.167
Pez,No Fui Hecho para Esta Tierra,0,139281,5.0,1.0,4.0,138.164,0.364,0.754,0.697,-5.823,0.0828,0.0198,0.0,0.573
Pez,Lágrimas de María,0,349517,2.0,1.0,4.0,150.441,0.222,0.686,0.0395,-8.045,0.0468,0.0983,0.0305,0.0901
Pez,Aromas de una Esquina,0,301971,2.0,1.0,4.0,94.846,0.538,0.671,0.41,-8.133,0.0301,0.184,0.0075,0.113
Pez,Mujer de Carbón,0,191598,0.0,1.0,4.0,137.585,0.386,0.702,0.797,-6.97,0.0364,0.00892,0.00378,0.594
Pez,Soy de Cualquier Lugar,0,175516,10.0,1.0,4.0,66.653,0.507,0.549,0.458,-7.243,0.0321,0.0186,0.0,0.187
Pez,Cadenas y Moneda,0,289880,4.0,0.0,3.0,78.118,0.406,0.579,0.354,-5.719,0.0432,0.179,0.000125,0.116
Pez,Las Palabras Mágicas,0,198266,2.0,1.0,4.0,90.828,0.35,0.409,0.274,-8.057,0.0303,0.806,6.51e-05,0.121
Pez,Rodar - Final Instrumental,0,70443,9.0,1.0,4.0,182.761,0.465,0.487,0.653,-8.141,0.0543,0.102,0.96,0.0685
Pez,La Balsa,0,194395,2.0,1.0,4.0,134.074,0.444,0.805,0.644,-6.004,0.0497,0.0282,0.0,0.0902
Pez,Pato Trabaja en una Carnicería,0,307493,7.0,1.0,4.0,78.106,0.42,0.626,0.374,-7.329,0.0316,0.0817,4.16e-05,0.127
Pez,Intro Horrible,0,77479,4.0,1.0,4.0,109.316,0.404,0.923,0.479,-6.274,0.0928,0.00712,0.587,0.332
Pez,Carne Roja,0,146944,9.0,1.0,4.0,122.02,0.38,0.746,0.525,-5.304,0.0348,0.000345,0.102,0.279
Pez,Los Dias Poderosos,0,287640,2.0,1.0,4.0,166.039,0.146,0.928,0.368,-5.718,0.116,0.00207,0.000107,0.227
Pez,1986,0,215084,7.0,1.0,4.0,139.941,0.409,0.796,0.236,-6.487,0.0613,0.0233,0.247,0.132
Pez,Maestro Linya,0,264603,0.0,1.0,4.0,111.268,0.401,0.917,0.503,-4.521,0.0593,9.15e-05,0.00461,0.121
Pez,"La Balada del Niño Mudo, el Perro Blanco y la Señorita Bettie",0,139520,0.0,1.0,3.0,119.454,0.405,0.509,0.193,-6.622,0.0285,0.346,7.15e-05,0.122
Pez,Pelea al Horror,1,249256,2.0,1.0,4.0,168.89,0.365,0.905,0.455,-5.353,0.0982,0.00171,0.00999,0.365
Pez,La Voluntad,0,217302,2.0,1.0,4.0,135.297,0.394,0.923,0.579,-5.734,0.0796,0.00172,0.108,0.479
Pez,Parte de la Solución,0,143080,2.0,1.0,4.0,75.678,0.186,0.936,0.746,-5.664,0.107,0.00208,0.0229,0.338
Pez,La Paciencia de la Piedra,0,594611,11.0,0.0,4.0,88.024,0.336,0.573,0.366,-10.875,0.0388,0.0527,0.128,0.343
Pez,Cráneos,0,373906,2.0,1.0,4.0,81.046,0.439,0.867,0.303,-4.747,0.0592,0.000393,0.267,0.113
Pez,Todo Lo Que Ya Fue,0,304213,2.0,1.0,4.0,132.896,0.603,0.543,0.364,-7.453,0.0399,0.0563,6.03e-05,0.11
Pez,En un Lenguaje Extraño,0,195560,1.0,1.0,4.0,121.63,0.65,0.645,0.341,-8.118,0.0401,0.084,2.8e-05,0.114
Pez,Retornan los Restos,0,319973,4.0,1.0,4.0,145.58,0.558,0.639,0.445,-6.377,0.0388,0.0134,0.00664,0.147
Pez,El Manto Eléctrico,0,370346,4.0,0.0,4.0,133.108,0.474,0.546,0.206,-7.993,0.0262,0.0279,0.00182,0.552
Pez,Muerde la Luz,0,161013,2.0,1.0,4.0,91.352,0.308,0.782,0.165,-5.633,0.0418,0.00114,0.132,0.14
Pez,No Te Escucho Bien,0,318306,11.0,0.0,4.0,132.841,0.527,0.54,0.351,-10.632,0.0379,0.16,0.0761,0.111
Pez,Aire al Fin,0,193746,,,,,,,,,,,,
Pez,Los Viajes Maestros,0,261665,4.0,0.0,3.0,114.264,0.536,0.523,0.14,-8.371,0.0316,0.0172,0.017,0.111
Pez,Mi Lista de Deseos,0,324306,11.0,0.0,4.0,155.09,0.46,0.699,0.154,-6.286,0.0651,0.0522,1.03e-06,0.118
Pez,Más Música,0,216320,2.0,0.0,4.0,127.554,0.604,0.63,0.576,-7.727,0.027,0.354,1.13e-05,0.182
Pez,Tan Deprisa Ya,0,259453,2.0,1.0,4.0,151.209,0.366,0.79,0.418,-5.255,0.0333,0.00102,0.18,0.141
Pez,De la Vieja Escuela del Amor,0,146546,9.0,1.0,4.0,146.263,0.529,0.897,0.4,-4.186,0.0361,0.00149,0.000157,0.589
Pez,Disparado,0,276693,0.0,1.0,4.0,145.962,0.311,0.635,0.293,-5.751,0.027,0.0677,0.000152,0.307
Pez,Lo Nuevo,0,254893,4.0,1.0,3.0,139.629,0.425,0.433,0.132,-10.136,0.0266,0.355,6.59e-05,0.079
Pez,El Aprendiz,0,298440,9.0,1.0,4.0,95.064,0.249,0.738,0.493,-5.627,0.0355,6.62e-05,0.0603,0.111
Pez,Cerezas,0,192573,0.0,1.0,4.0,133.397,0.447,0.725,0.632,-6.168,0.0303,0.0118,0.000974,0.419
Pez,Lucifer,0,150466,0.0,1.0,4.0,144.71,0.279,0.949,0.436,-4.132,0.0474,0.00142,0.00399,0.162
Pez,"Cuidate, Monito",0,268026,0.0,1.0,4.0,121.297,0.337,0.813,0.549,-6.084,0.04,0.0011,0.0306,0.0861
